run,path,mgf,vn_alpha,vn_beta,shannon_entropy
0,D:\Simulation_Data/run_0000,1.9999984832980864,1.999999998913457,1.999999998913457,1.2046984117175525
1,D:\Simulation_Data/run_0001,1.2599188185692158,1.2599210490783055,1.2599210490783055,0.9634485540171975
2,D:\Simulation_Data/run_0002,1.6657681958578618,1.6657743301242587,1.6657743301242587,1.7679721570843727
3,D:\Simulation_Data/run_0003,1.7688656357192647,1.769292354118079,1.769292354118079,1.3300952936421746
4,D:\Simulation_Data/run_0004,1.3937131958901716,1.395336990058422,1.395336990058422,1.5178780564284717
