realization	alpha	beta	mu	lambda
0	0.9304537520640426	0.9304537520640426	-0.20863874380787228	-0.00694588650968664
1	1.1760575871448964	1.1760575871448964	0.5281727614346892	5.661393273185058e-10
2	1.3485939751844853	1.3485939751844853	1.045781925553456	0.09499529893354154
3	1.2247448712587357	1.2247448712587357	0.674234613776207	0.005484651483748077
4	1.8708286914043128	1.8708286914043128	2.6124860742129385	0.3301506270455862
5	1.490443672053516	1.490443672053516	1.4713310161605477	0.13522691530969153
6	0.9999999981373546	0.9999999981373546	0.0	-1.5921965306419304e-13
7	0.9656104255467651	0.9656104255467651	-0.10316872335970462	1.0280180338017246e-11
8	1.6180339912728718	1.6180339912728718	1.8541019738186155	0.20947120211535028
9	1.3247179593890905	1.3247179593890905	0.9741538781672716	-8.390573370843716e-12
10	0.9167235344648361	0.9167235344648361	-0.24982939660549164	6.6478678135526e-10
11	1.963031966239214	1.963031966239214	2.889095898717642	0.24995965152252494
12	0.6697979766875506	0.6697979766875506	-0.9906060699373482	1.8226236595147096e-13
13	0.9032119270414113	0.9032119270414113	-0.29036421887576613	8.272909976728654e-14
14	1.475686519539782	1.475686519539782	1.4270595586193457	0.25396978216949617
15	0.9260701745748519	0.9260701745748519	-0.22178947627544443	-4.094478640966953e-13
16	1.0000000002069607	1.0000000002069607	0.0	-0.2940604079183329
17	1.538615763420239	1.538615763420239	1.6158472902607173	0.25552439919168995
18	0.5460967894643545	0.5460967894643545	-1.3617096316069366	-3.502024448962174e-12
19	2.3829757653708965	2.3829757653708965	4.1489272961126895	1.071521719752915
20	1.2807764063278833	1.2807764063278833	0.5615528126557665	0.037376838234022706
21	1.73205080665648	1.73205080665648	2.1961524199694398	0.15027896756561684
22	1.7320508087286726	1.7320508087286726	2.1961524261860177	0.41820889821420854
23	2.8311772057786584	2.8311772057786584	5.493531617335975	0.05233186717546618
24	0.858648884575814	0.858648884575814	-0.424053346272558	4.052771860857449e-10
25	1.6950033257404964	1.6950033257404964	2.085009977221489	0.28127384314637577
26	2.059791970066726	2.059791970066726	3.1793759102001786	0.7336811192233418
27	1.3169420959893614	1.3169420959893614	0.9508262879680842	2.014847534804057e-12
28	1.4142135663756301	1.4142135663756301	1.2426406991268903	0.14355008182807977
29	1.5456525350455195	1.5456525350455195	1.6369576051365584	0.061313759081959726
30	1.798260916955769	1.798260916955769	1.5965218339115381	0.12237013788634746
31	0.9999999976716936	0.9999999976716936	0.0	3.8705904772858914e-10
32	1.2310223945726952	1.2310223945726952	0.6930671837180857	0.04792830789255851
33	1.7320508069048324	1.7320508069048324	2.196152420714497	0.2703138594165492
34	1.3721402983314226	1.3721402983314226	1.1164208949942678	0.015957459114078244
35	1.224744869529136	1.224744869529136	0.6742346085874082	0.07825434842759227
36	1.1393036199733615	1.1393036199733615	0.4179108599200845	5.738733420279221e-07
37	2.0000000031044083	2.0000000031044083	3.000000009313225	0.318688380113807
38	0.7820900063961742	0.7820900063961742	-0.6537299808114774	9.720022244827634e-11
39	1.5858673948262418	1.5858673948262418	1.7576021844787255	0.1403680798922925
40	1.624655368924141	1.624655368924141	1.873966106772423	0.23003917164972568
41	0.8260844629257917	0.8260844629257917	-0.5217466112226248	2.8905456357243003e-11
42	1.7320508102753331	1.7320508102753331	2.1961524308259994	0.2566821588721578
43	1.4093753594905138	1.4093753594905138	1.2281260784715415	-1.9097774366238885e-14
44	1.2909944478888065	1.2909944478888065	0.8729833436664194	2.4345741029359486e-11
45	1.7692923543509096	1.7692923543509096	2.3078770630527288	0.17232229431680443
46	0.9999999993015081	0.9999999993015081	0.0	-1.9179299720059467e-12
47	0.8319304892793298	0.8319304892793298	-0.5042085321620107	-0.03706627725462142
48	0.5773502672091125	0.5773502672091125	-1.2679491983726625	-9.15129814007129e-12
49	1.5213797044541155	1.5213797044541155	1.5641391133623466	0.11936273895674868
50	0.9999999981373546	0.9999999981373546	0.0	-3.652503096884191e-09
51	1.5362796997651458	1.5362796997651458	1.6088390992954373	4.773058962192686e-14
52	0.9999999973922967	0.9999999973922967	0.0	7.037305309548685e-09
53	1.732050809636712	1.732050809636712	2.196152428910136	0.33220606241948253
54	1.414213952794671	1.4142135616391893	1.2426418583840133	0.019564121185761185
55	1.259921047038266	1.259921047038266	0.779763141114798	9.107946997039048e-13
56	1.0000000018626451	1.0000000018626451	0.0	2.454823805276299e-14
57	0.7548776682466268	0.7548776682466268	-0.7353669952601195	1.8406135861779052e-13
58	1.3532099674145381	1.3532099674145381	1.0596299022436144	0.0008423337341392472
59	0.5272954519838097	0.5272954519838097	-1.4181136440485709	2.267734914460164e-12
60	1.3542324827673533	1.3542324827673533	1.06269744830206	0.16360738418208903
61	1.3669267048438392	1.3669267048438392	1.1007801145315175	0.12005463311145832
62	0.7548776646809918	0.7548776646809918	-0.7353670059570245	6.792916959993927e-13
63	1.4142135630051296	1.4142135630051296	1.2426406890153887	-0.03992276812799123
64	1.2862906386809687	1.2862906386809687	0.8588719160429061	0.025863626027160726
65	1.7320508109405637	1.7320508109405637	2.196152432821691	-0.00902741285309492
66	1.2835827227681875	1.2835827227681875	0.8507481683045626	-3.5158731798996923e-13
67	1.175982076053818	1.175982076053818	0.527946228161454	-2.509852271734891e-13
68	1.0919599880774817	1.0919599880774817	0.2758799642324452	0.0014217682372787924
69	1.5681148591850484	1.5681148591850484	1.7043445775551453	2.767887085095883e-12
70	1.46557123423554	1.46557123423554	1.39671370270662	0.07539917931278162
71	1.117688633268699	1.117688633268699	0.35306589980609715	-1.4577554089816958e-09
72	1.942241850309074	1.942241850309074	2.8267255509272218	0.03377735150438074
73	1.0000000006208818	1.0000000006208818	0.0	3.434287125102944e-10
74	0.7071067800279707	0.7071067800279707	-0.878679659916088	1.509127725617225e-11
75	0.8793852394446731	0.8793852394446731	-0.24122952111065388	8.554961780743687e-08
76	1.5468182812134426	1.5468182812134426	1.6404548436403277	0.0867332036613819
77	1.779644732673963	1.779644732673963	2.338934198021889	0.2363057536286317
78	1.87938524396824	1.87938524396824	2.6381557319047197	0.3929499744711979
79	1.4142135625705117	1.4142135625705117	1.242640687711535	-8.978417010053545e-10
80	1.4499597201744716	1.4499597201744716	1.3498791605234148	-0.022857911665279382
81	1.999999996740371	1.999999996740371	2.999999990221113	0.28635034945736637
82	1.134765419488152	1.134765419488152	0.40429625846445605	0.0007206177962625509
83	2.9999999950329466	2.9999999950329466	5.99999998509884	1.0248136142279627
84	1.174833927070722	1.174833927070722	0.524501781212166	-2.8137206939519034e-08
85	1.7807764098048209	1.7807764098048209	2.342329229414463	0.242668795015768
86	0.7810363072901965	0.7810363072901965	-0.6568910781294106	-1.591577605725877e-10
87	1.2638838972896338	1.2638838972896338	0.7916516918689014	-5.929666728528085e-11
88	2.4388350596030555	2.4388350596030555	4.316505178809166	1.1875771210926114
89	2.056545295752585	2.056545295752585	2.11309059150517	0.010182999451189487
90	0.8448672548402101	0.8448672548402101	-0.46539823547936976	-1.918399505985365e-12
91	1.4798034031742384	1.4798034031742384	1.4394102095227153	0.1607877540589123
92	1.94224185248216	1.94224185248216	2.8267255574464802	0.5091275501490975
93	2.207011683311845	2.207011683311845	3.621035049935535	0.7070034761993332
94	1.6830604586284608	1.6830604586284608	2.0491813758853823	0.01312165329131797
95	2.999999995653828	2.999999995653828	5.999999986961484	0.8806783397684572
96	1.4999999981373549	1.4999999981373549	1.4999999944120646	0.07175101563674434
97	1.2044015498831868	1.2044015498831868	0.6132046496495605	4.2814753767716785e-13
98	1.41421355959028	1.41421355959028	0.8284271191805601	0.1853011103449072
99	0.7548776701092719	0.7548776701092719	-0.7353669896721844	-0.010049052821667043
100	0.9999999988025848	0.9999999988025848	0.0	4.751325438504591e-21
101	1.618033990263939	1.618033990263939	1.8541019707918167	0.047069305440245936
102	2.9999999950329466	2.9999999950329466	5.99999998509884	1.71199381758019
103	0.9999999976716936	0.9999999976716936	0.0	4.146910491151454e-07
104	1.8793852399103343	1.8793852399103343	2.638155719731003	0.43053188186827274
105	1.414213563501835	1.414213563501835	1.2426406905055047	2.2746340541798613e-14
106	1.41421355959028	1.41421355959028	1.2426406787708402	-0.006666280185387621
107	1.414213564991951	1.414213564991951	1.2426406949758528	-0.4182122020390263
108	1.5213797062635424	1.5213797062635424	1.564139118790627	0.034164625543143215
109	2.121320341480896	2.121320341480896	3.3639610244426876	0.1838778926625624
110	1.3836728682120643	1.3836728682120643	1.1510186046361928	-2.931744544155478e-10
111	1.7523321728739472	1.7523321728739472	2.2569965186218415	-0.18081206380971648
112	0.6299605234526098	0.6299605234526098	-1.1101184296421707	4.345711430081519e-11
113	2.83846925465124	2.83846925465124	5.51540776395372	0.22652707872955782
114	2.732050810009241	2.732050810009241	5.196152430027723	1.0420668004260083
115	0.7461289929019082	0.7461289929019082	-0.7616130212942755	-4.730755145135144e-09
116	1.59190887324512	1.59190887324512	1.7757266197353603	0.025700647901365736
117	0.7071068402379752	0.6554423827677964	-0.8786794792860744	-1.9865204986644882e-16
118	1.3660254068672657	1.3660254068672657	1.098076220601797	0.011144219551900833
119	0.8483748946649333	0.8483748946649333	-0.45487531600520004	1.5253325040818628e-14
120	1.6928670154884458	1.6928670154884458	2.0786010464653373	0.14190480261099928
121	1.8171205900143832	1.8171205900143832	2.4513617700431496	0.5234778134435696
122	2.195823343470692	2.195823343470692	3.5874700304120766	0.6534953960269625
123	1.4142135642466376	1.4142135642466376	1.2426406927399127	0.006573730223616861
124	0.9084090343676507	0.9084090343676507	-0.27477289689704776	-1.591807532417893e-16
125	0.7399078756570816	0.7399078756570816	-0.7802763730287552	6.828986633697406e-15
126	1.414213562539468	1.414213562539468	1.2426406876184042	0.044907253992034636
127	1.5213797050528228	1.5213797050528228	1.5641391151584685	0.07791909056654253
128	1.128303530625999	1.128303530625999	0.3849105918779969	8.528758624647486e-11
129	1.6180339893326163	1.6180339893326163	1.854101967997849	0.043186035521146485
130	1.3747213742592272	1.3747213742592272	1.1241641227776817	-1.6356883901600353e-10
131	1.0659948901406358	1.0659948901406358	0.19798467042190726	1.6577185714060394e-14
132	2.034549914196962	2.034549914196962	3.1036497425908856	0.42697792772725923
