realization	alpha
0	0.999999996740371
1	0.9999999962747097
2	0.7937005211909611
3	0.6572981076315045
4	0.999999996806894
5	1.0
6	0.7937005211909611
7	0.9999999955296517
8	0.9999999950329462
9	0.9999999950329462
10	0.7548776616652807
11	0.9999999972060323
12	0.9999999950329462
13	0.7071067839860916
14	0.7548776678740978
15	0.7071067839860916
16	0.7937005251646041
17	0.5298833893612027
18	0.7937005211909611
19	0.7548776616652806
20	0.7071067802608013
21	0.9999999950329462
22	0.9999999970197677
23	0.9999999962747097
24	0.6823278060182929
25	0.7861513743797938
26	0.9999999973390783
27	0.9999999950329462
28	0.9999999950329462
29	0.7071067802608013
30	0.9999999957425254
31	0.9999999950329462
32	0.7071067802608013
33	0.9999999955296517
34	1.0
35	0.9999999950329462
36	0.9999999950329462
37	0.7937005211909611
38	0.7071067839860916
39	0.7071067839860916
40	0.9999999950329462
41	0.9999999950329462
42	0.49999999503294623
43	0.5
44	0.9999999953433871
45	0.9999999973390783
46	0.9999999950329462
47	0.9999999972060323
48	0.7937005211909611
49	0.7071067839860916
50	0.9999999962747097
51	0.7071067839860916
52	0.7937005289963315
53	0.9999999962747097
54	0.9999999968955915
55	0.7071067839860916
56	0.9999999950329462
57	0.9999999962747097
58	0.5
59	0.7071067839860916
60	0.9999999950329462
61	0.9999999950329462
62	0.9999999950329462
63	0.7937005211909611
64	0.9999999950329462
65	0.9999999962747097
66	0.999999996806894
67	0.9999999950329462
68	0.9999999970197677
69	0.5845751343294978
70	0.9999999950329462
71	0.9999999973390783
72	0.9999999950329462
73	0.7071067793294787
74	0.9999999950329462
75	0.9999999950329462
76	0.9999999950329462
77	0.9999999950329462
78	0.9999999950329462
79	0.9999999950329462
80	0.6180339902639389
81	0.9999999950329462
82	0.7071067839860916
83	0.9999999950329463
84	0.7071067839860916
85	0.7548776650801301
86	0.7548776616652806
87	0.9999999972060323
88	0.9999999955296517
89	0.7071067802608013
90	0.9999999968955915
91	0.9999999962747097
92	0.9999999955296517
93	0.5875060008838773
94	0.9999999972060323
95	0.786151378415525
96	0.8191725118085742
97	0.7329067240158716
98	0.9999999950329462
99	0.9999999950329462
100	0.9999999950329462
101	0.9999999955296517
102	0.7071067839860916
103	0.7071067839860916
104	0.7071067802608013
105	0.7548776701092719
106	0.9999999950329462
107	0.9999999950329462
108	0.6180339865386486
109	0.6299605220556259
110	0.9999999950329462
111	0.9999999950329462
112	0.9999999972060323
113	0.9999999970197677
114	0.7937005283311009
115	0.9999999950329462
116	0.9999999950329462
117	0.7937005211909611
118	0.9999999950329462
119	0.7548776650801301
120	0.9999999950329462
121	0.7861513743797938
122	0.5651977164670825
123	0.9999999950329462
124	0.9999999970197677
125	0.9999999968955915
126	0.7071067839860916
127	0.7548776662775449
128	0.7937005273997784
129	0.9999999950329462
130	0.5897545106709003
131	0.9999999972060323
132	0.7071067839860916
133	0.9999999972060323
134	0.9999999950329462
135	0.9999999950329462
136	0.9999999950329462
137	0.5
138	0.999999996806894
139	0.9999999962747097
140	0.7071067839860916
141	0.9999999950329462
142	0.9999999950329462
143	0.8408964164555073
144	0.9999999950329462
145	0.7937005266547201
146	0.7071067839860916
147	0.9999999950329462
148	0.9999999970197677
149	0.9999999950329462
150	0.9999999950329462
151	0.9999999950329462
152	0.5
153	0.9999999950329462
154	0.9999999955296517
155	0.7071067839860916
156	0.9999999950329462
157	0.9999999950329462
158	0.7937005283311009
159	0.9999999962747097
160	0.9999999955296517
161	0.5773502737283707
162	0.7071067802608013
163	0.543689014390111
164	0.9999999950329462
165	0.9999999950329462
166	0.7071067802608013
167	0.9999999950329462
168	0.7071067839860916
169	0.7071067839860916
170	0.7548776616652806
171	0.6299605220556259
172	0.9999999970197677
173	0.9999999950329462
174	0.7244919575750828
175	0.9999999950329462
176	0.9999999950329462
177	0.9999999972060323
178	0.6180339865386486
179	0.7071067839860916
180	0.7071067839860916
181	0.7548776656389236
182	0.657298110425472
183	0.9999999970197677
184	0.9999999972060323
185	0.7071067793294787
186	0.9999999972060323
187	0.9999999962747097
188	0.9999999950329462
189	0.9999999972060323
190	0.9999999950329462
191	0.9999999962747097
192	0.7937005230536064
193	0.9999999962747097
194	0.9999999950329462
195	0.7071067839860916
196	0.9999999972060323
197	0.9999999950329462
198	0.9999999950329462
199	0.7071067839860916
200	0.7071067839860916
201	0.9999999950329462
202	0.9999999950329462
203	0.7071067802608013
204	0.9999999950329462
205	0.9999999962747097
206	0.9999999950329462
207	1.0
208	0.9999999950329462
209	0.9999999950329462
210	0.9999999968955915
211	0.5651977164670825
212	0.9999999950329462
213	0.9999999962747097
214	0.9999999950329462
215	0.8408964164555073
216	0.5
217	0.7071067802608013
