1400.0 2.086 1.986 1.91 1.159 2.785 1.814 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.611 1.353 1.063 0.522 0.556 0.329 0.322 0.076 0.37 1.143 1.443 0.011 0.01 0.01
1400.1 2.086 1.986 1.91 1.159 2.785 1.814 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.611 1.353 1.063 0.522 0.556 0.329 0.323 0.077 0.37 1.143 1.443 0.012 0.009 0.011
1400.2 2.086 1.986 1.91 1.159 2.785 1.814 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.611 1.353 1.063 0.522 0.556 0.329 0.323 0.077 0.37 1.143 1.443 0.013 0.009 0.011
1400.3 2.086 1.986 1.91 1.159 2.785 1.814 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.611 1.353 1.063 0.522 0.556 0.33 0.324 0.078 0.37 1.143 1.443 0.014 0.009 0.011
1400.4 2.086 1.986 1.91 1.159 2.785 1.814 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.611 1.353 1.063 0.522 0.556 0.33 0.325 0.078 0.37 1.143 1.443 0.015 0.009 0.012
1400.5 2.086 1.986 1.91 1.159 2.785 1.814 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.611 1.353 1.063 0.522 0.556 0.331 0.326 0.078 0.37 1.143 1.443 0.015 0.009 0.012
1400.6 2.086 1.986 1.91 1.159 2.785 1.814 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.611 1.353 1.063 0.522 0.556 0.332 0.326 0.079 0.37 1.143 1.443 0.016 0.01 0.012
1400.7 2.086 1.986 1.91 1.159 2.785 1.814 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.611 1.353 1.063 0.522 0.556 0.332 0.327 0.079 0.37 1.143 1.443 0.016 0.01 0.012
1400.8 2.086 1.986 1.91 1.159 2.785 1.814 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.61 1.353 1.063 0.522 0.556 0.333 0.328 0.079 0.37 1.143 1.443 0.017 0.01 0.013
1400.9 2.086 1.986 1.91 1.159 2.785 1.814 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.61 1.353 1.063 0.522 0.556 0.334 0.329 0.08 0.37 1.143 1.443 0.018 0.01 0.013
1401.0 2.086 1.986 1.91 1.159 2.785 1.813 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.61 1.353 1.063 0.522 0.556 0.335 0.33 0.08 0.37 1.143 1.443 0.018 0.011 0.013
1401.1 2.086 1.986 1.91 1.159 2.784 1.813 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.61 1.353 1.063 0.522 0.556 0.335 0.33 0.081 0.37 1.143 1.443 0.019 0.011 0.014
1401.2 2.086 1.986 1.91 1.159 2.784 1.813 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.61 1.353 1.063 0.522 0.556 0.336 0.331 0.081 0.37 1.143 1.443 0.019 0.011 0.014
1401.3 2.086 1.986 1.91 1.159 2.784 1.813 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.61 1.353 1.063 0.522 0.556 0.337 0.332 0.081 0.37 1.143 1.443 0.02 0.012 0.014
1401.4 2.086 1.986 1.91 1.159 2.784 1.813 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.61 1.353 1.063 0.522 0.556 0.338 0.333 0.082 0.37 1.143 1.443 0.021 0.012 0.015
1401.5 2.086 1.986 1.91 1.159 2.784 1.813 0.954 1.09 0.927 1.026 0.523 1.0 2.049 0.61 1.353 1.063 0.522 0.556 0.338 0.334 0.082 0.37 1.143 1.443 0.021 0.012 0.015
1401.6 2.086 1.986 1.91 1.159 2.784 1.813 0.954 1.09 0.927 1.026 0.523 1.0 2.048 0.61 1.353 1.063 0.522 0.556 0.339 0.335 0.082 0.37 1.143 1.443 0.022 0.013 0.015
1401.7 2.086 1.986 1.91 1.159 2.784 1.813 0.954 1.09 0.927 1.026 0.523 1.0 2.048 0.61 1.353 1.063 0.522 0.556 0.34 0.336 0.083 0.37 1.143 1.443 0.022 0.013 0.016
1401.8 2.086 1.986 1.91 1.159 2.784 1.812 0.954 1.09 0.927 1.026 0.523 1.0 2.048 0.61 1.354 1.063 0.522 0.556 0.341 0.337 0.083 0.37 1.143 1.443 0.023 0.013 0.016
1401.9 2.086 1.986 1.91 1.159 2.783 1.812 0.954 1.09 0.927 1.026 0.523 1.0 2.048 0.61 1.354 1.063 0.522 0.556 0.342 0.338 0.084 0.37 1.143 1.443 0.024 0.014 0.017
