1800.0 2.086 1.986 1.91 1.159 2.595 1.627 0.958 1.092 0.931 1.028 0.523 1.002 1.739 0.528 1.3 1.175 0.575 0.587 0.582 0.683 0.24 0.37 1.143 1.443 1.503 1.261 7.458 0.329 11.028 0.547 1.23 0.651 1.836 0.009 0.011 0.01
1800.1 2.086 1.986 1.91 1.159 2.595 1.627 0.958 1.092 0.931 1.028 0.522 1.002 1.739 0.528 1.3 1.175 0.575 0.587 0.582 0.683 0.24 0.37 1.143 1.443 1.503 1.261 7.459 0.329 11.031 0.547 1.23 0.651 1.836 0.009 0.011 0.011
1800.2 2.086 1.986 1.91 1.159 2.595 1.627 0.958 1.092 0.931 1.028 0.522 1.002 1.739 0.528 1.3 1.175 0.575 0.587 0.582 0.683 0.24 0.37 1.143 1.443 1.503 1.261 7.46 0.329 11.033 0.547 1.23 0.651 1.836 0.008 0.012 0.012
1800.3 2.086 1.986 1.91 1.159 2.595 1.627 0.958 1.092 0.931 1.028 0.522 1.003 1.739 0.528 1.3 1.175 0.575 0.586 0.582 0.683 0.24 0.37 1.143 1.443 1.503 1.261 7.461 0.329 11.036 0.547 1.23 0.651 1.836 0.008 0.012 0.012
1800.4 2.086 1.986 1.91 1.159 2.595 1.627 0.958 1.092 0.931 1.028 0.521 1.003 1.739 0.528 1.3 1.175 0.575 0.586 0.582 0.683 0.24 0.37 1.143 1.443 1.504 1.261 7.462 0.329 11.039 0.547 1.23 0.651 1.837 0.008 0.013 0.013
1800.5 2.086 1.986 1.91 1.159 2.595 1.627 0.958 1.092 0.931 1.028 0.521 1.003 1.739 0.528 1.3 1.175 0.575 0.586 0.582 0.683 0.24 0.37 1.143 1.443 1.504 1.261 7.463 0.329 11.042 0.547 1.23 0.651 1.837 0.008 0.013 0.014
1800.6 2.086 1.986 1.91 1.159 2.595 1.627 0.958 1.092 0.931 1.028 0.521 1.003 1.739 0.528 1.3 1.175 0.575 0.586 0.582 0.683 0.24 0.37 1.143 1.443 1.504 1.261 7.465 0.329 11.045 0.547 1.23 0.651 1.837 0.007 0.013 0.014
1800.7 2.086 1.986 1.91 1.159 2.595 1.627 0.958 1.092 0.931 1.028 0.521 1.003 1.739 0.528 1.3 1.175 0.575 0.586 0.582 0.683 0.24 0.37 1.143 1.443 1.504 1.261 7.466 0.329 11.048 0.547 1.23 0.651 1.837 0.007 0.013 0.015
1800.8 2.086 1.986 1.91 1.159 2.595 1.628 0.958 1.092 0.931 1.028 0.52 1.003 1.74 0.528 1.3 1.175 0.575 0.586 0.582 0.683 0.24 0.37 1.143 1.443 1.504 1.261 7.467 0.329 11.05 0.547 1.23 0.651 1.837 0.007 0.014 0.015
1800.9 2.086 1.986 1.91 1.159 2.595 1.628 0.958 1.092 0.931 1.028 0.52 1.003 1.74 0.528 1.3 1.175 0.575 0.586 0.582 0.683 0.24 0.37 1.143 1.443 1.504 1.262 7.468 0.329 11.053 0.547 1.23 0.651 1.837 0.007 0.014 0.016
