1700.0 2.086 1.986 1.91 1.159 2.563 1.597 0.956 1.091 0.929 1.027 0.523 1.001 1.691 0.515 1.291 1.179 0.577 0.587 0.6 0.723 0.261 0.37 1.143 1.443 1.367 1.138 6.139 0.308 8.228 0.497 0.011 0.009 0.011
1700.1 2.086 1.986 1.91 1.159 2.563 1.597 0.956 1.091 0.929 1.027 0.523 1.001 1.691 0.515 1.29 1.179 0.578 0.587 0.6 0.723 0.261 0.37 1.143 1.443 1.367 1.138 6.14 0.308 8.231 0.497 0.012 0.009 0.012
1700.2 2.086 1.986 1.91 1.159 2.563 1.597 0.956 1.091 0.929 1.027 0.523 1.001 1.691 0.515 1.29 1.179 0.578 0.587 0.6 0.723 0.261 0.37 1.143 1.443 1.367 1.139 6.141 0.308 8.235 0.498 0.013 0.009 0.012
1700.3 2.086 1.986 1.91 1.159 2.563 1.598 0.956 1.091 0.929 1.027 0.523 1.001 1.69 0.515 1.289 1.179 0.578 0.586 0.6 0.723 0.261 0.37 1.143 1.443 1.368 1.139 6.143 0.308 8.238 0.498 0.014 0.009 0.013
1700.4 2.086 1.986 1.91 1.159 2.563 1.598 0.956 1.091 0.929 1.027 0.523 1.001 1.69 0.516 1.288 1.179 0.578 0.586 0.6 0.723 0.261 0.37 1.143 1.443 1.368 1.139 6.144 0.308 8.241 0.498 0.014 0.01 0.013
1700.5 2.086 1.986 1.91 1.159 2.564 1.598 0.956 1.091 0.929 1.027 0.523 1.001 1.69 0.516 1.287 1.179 0.578 0.586 0.6 0.723 0.261 0.37 1.143 1.443 1.368 1.139 6.145 0.308 8.245 0.498 0.015 0.01 0.014
1700.6 2.086 1.986 1.91 1.159 2.564 1.598 0.956 1.091 0.929 1.027 0.523 1.001 1.689 0.516 1.287 1.178 0.578 0.586 0.6 0.722 0.261 0.37 1.143 1.443 1.368 1.139 6.146 0.308 8.248 0.498 0.016 0.01 0.014
1700.7 2.086 1.986 1.91 1.159 2.564 1.599 0.956 1.091 0.929 1.027 0.523 1.001 1.689 0.516 1.286 1.178 0.578 0.586 0.6 0.722 0.261 0.37 1.143 1.443 1.368 1.139 6.147 0.308 8.251 0.498 0.017 0.011 0.015
1700.8 2.086 1.986 1.91 1.159 2.564 1.599 0.956 1.091 0.929 1.027 0.523 1.001 1.689 0.516 1.285 1.178 0.578 0.586 0.6 0.722 0.261 0.37 1.143 1.443 1.368 1.14 6.148 0.308 8.255 0.498 0.018 0.011 0.016
1700.9 2.086 1.986 1.91 1.159 2.565 1.599 0.956 1.091 0.929 1.027 0.523 1.001 1.688 0.516 1.285 1.178 0.578 0.586 0.6 0.722 0.261 0.37 1.143 1.443 1.368 1.14 6.149 0.308 8.258 0.498 0.019 0.011 0.016
