# bin_center  density
5.025000e-01 4.405797e+00
5.075000e-01 0.000000e+00
5.125000e-01 0.000000e+00
5.175000e-01 0.000000e+00
5.225000e-01 0.000000e+00
5.275000e-01 0.000000e+00
5.325000e-01 1.159420e-01
5.375000e-01 0.000000e+00
5.425000e-01 1.159420e-01
5.475000e-01 0.000000e+00
5.525000e-01 0.000000e+00
5.575000e-01 0.000000e+00
5.625000e-01 0.000000e+00
5.675000e-01 4.637681e-01
5.725000e-01 0.000000e+00
5.775000e-01 5.797101e-01
5.825000e-01 0.000000e+00
5.875000e-01 1.159420e-01
5.925000e-01 3.478261e-01
5.975000e-01 1.159420e-01
6.025000e-01 1.159420e-01
6.075000e-01 1.159420e-01
6.125000e-01 0.000000e+00
6.175000e-01 3.246377e+00
6.225000e-01 0.000000e+00
6.275000e-01 5.797101e-01
6.325000e-01 2.318841e-01
6.375000e-01 2.318841e-01
6.425000e-01 5.797101e-01
6.475000e-01 1.159420e-01
6.525000e-01 0.000000e+00
6.575000e-01 2.434783e+00
6.625000e-01 0.000000e+00
6.675000e-01 4.637681e-01
6.725000e-01 4.637681e-01
6.775000e-01 0.000000e+00
6.825000e-01 1.739130e+00
6.875000e-01 0.000000e+00
6.925000e-01 2.318841e-01
6.975000e-01 0.000000e+00
7.025000e-01 2.318841e-01
7.075000e-01 3.084058e+01
7.125000e-01 0.000000e+00
7.175000e-01 1.275362e+00
7.225000e-01 0.000000e+00
7.275000e-01 0.000000e+00
7.325000e-01 1.159420e-01
7.375000e-01 3.478261e-01
7.425000e-01 0.000000e+00
7.475000e-01 1.159420e-01
7.525000e-01 9.043478e+00
7.575000e-01 0.000000e+00
7.625000e-01 0.000000e+00
7.675000e-01 0.000000e+00
7.725000e-01 1.159420e-01
7.775000e-01 1.159420e-01
7.825000e-01 0.000000e+00
7.875000e-01 1.159420e+00
7.925000e-01 8.231884e+00
7.975000e-01 0.000000e+00
8.025000e-01 0.000000e+00
8.075000e-01 1.159420e-01
8.125000e-01 0.000000e+00
8.175000e-01 1.739130e+00
8.225000e-01 0.000000e+00
8.275000e-01 0.000000e+00
8.325000e-01 0.000000e+00
8.375000e-01 1.159420e-01
8.425000e-01 9.275362e-01
8.475000e-01 0.000000e+00
8.525000e-01 0.000000e+00
8.575000e-01 2.318841e-01
8.625000e-01 0.000000e+00
8.675000e-01 0.000000e+00
8.725000e-01 1.159420e-01
8.775000e-01 0.000000e+00
8.825000e-01 0.000000e+00
8.875000e-01 0.000000e+00
8.925000e-01 0.000000e+00
8.975000e-01 0.000000e+00
9.025000e-01 0.000000e+00
9.075000e-01 0.000000e+00
9.125000e-01 0.000000e+00
9.175000e-01 0.000000e+00
9.225000e-01 0.000000e+00
9.275000e-01 0.000000e+00
9.325000e-01 0.000000e+00
9.375000e-01 0.000000e+00
9.425000e-01 0.000000e+00
9.475000e-01 0.000000e+00
9.525000e-01 0.000000e+00
9.575000e-01 0.000000e+00
9.625000e-01 0.000000e+00
9.675000e-01 0.000000e+00
9.725000e-01 0.000000e+00
9.775000e-01 0.000000e+00
9.825000e-01 0.000000e+00
9.875000e-01 0.000000e+00
9.925000e-01 0.000000e+00
9.975000e-01 1.283478e+02
