realization	alpha	beta	mu	mu_low	lambda	delta	lambda_tilde	violation
12739	1.0000	1.0000	0.0000	-7.0000	-0.0000	-0.0000	-0.0000	False
12740	1.4142	1.4142	2.4853	-6.0000	-0.0129	0.4142	-0.0022	False
12741	1.4142	1.4142	2.4853	-6.0000	-0.1277	0.4142	-0.0213	False
12742	1.1567	1.1567	0.6269	-4.0000	-0.0000	0.1567	-0.0000	False
12743	1.4142	1.4142	2.8995	-7.0000	0.2895	0.4142	0.0414	False
12744	1.0000	1.0000	0.0000	-7.0000	-0.2289	0.0000	-0.0327	False
12745	1.4142	1.4142	2.0711	-5.0000	-0.0467	0.4142	-0.0093	False
12746	2.0000	2.0000	3.0000	-3.0000	0.4224	1.0000	0.1408	False
12747	1.0000	1.0000	0.0000	-5.0000	0.0000	-0.0000	0.0000	False
12748	1.2808	1.2808	1.4039	-5.0000	0.1568	0.2808	0.0314	False
12749	2.0000	2.0000	9.0000	-9.0000	0.2939	1.0000	0.0327	False
12750	1.4142	1.4142	2.4853	-6.0000	-0.0092	0.4142	-0.0015	False
12751	2.0000	2.0000	6.0000	-6.0000	0.3628	1.0000	0.0605	False
12752	2.0000	2.0000	6.0000	-6.0000	0.3984	1.0000	0.0664	False
12753	1.6583	1.6583	2.6332	-4.0000	0.2363	0.6583	0.0591	False
12754	1.2599	1.2599	0.7798	-3.0000	-0.0000	0.2599	-0.0000	False
12755	1.0000	1.0000	0.0000	-2.0000	-0.0077	0.0000	-0.0038	False
12756	1.5214	1.5214	3.6497	-7.0000	0.4555	0.5214	0.0651	False
12757	2.0000	2.0000	6.0000	-6.0000	0.2104	1.0000	0.0351	False
12758	0.7071	0.7071	-1.1716	-4.0000	-0.2872	-0.2929	-0.0718	False
12759	1.5874	1.5874	4.1118	-7.0000	0.2932	0.5874	0.0419	False
12760	2.0000	2.0000	3.0000	-3.0000	0.6839	1.0000	0.2280	False
12761	1.4142	1.4142	1.6569	-4.0000	-0.0000	0.4142	-0.0000	False
12762	2.0000	2.0000	5.0000	-5.0000	0.0318	1.0000	0.0064	False
12763	2.0000	2.0000	5.0000	-5.0000	0.4503	1.0000	0.0901	False
12764	2.0000	2.0000	5.0000	-5.0000	0.8351	1.0000	0.1670	False
12765	2.0000	2.0000	8.0000	-8.0000	0.5939	1.0000	0.0742	False
12766	1.4142	1.4142	2.4853	-6.0000	0.2211	0.4142	0.0369	False
12767	1.0000	1.0000	0.0000	-4.0000	0.0000	-0.0000	0.0000	False
12768	1.1654	1.1654	0.6615	-4.0000	-0.0539	0.1654	-0.0135	False
12769	1.5188	1.5188	1.5565	-3.0000	0.1636	0.5188	0.0545	False
12770	1.4142	1.4142	2.4853	-6.0000	0.0078	0.4142	0.0013	False
12771	1.0000	1.0000	0.0000	-6.0000	-0.0302	0.0000	-0.0050	False
12772	1.0000	1.0000	0.0000	-3.0000	-0.0000	0.0000	-0.0000	False
12773	1.7030	1.7030	3.5148	-5.0000	0.1225	0.7030	0.0245	False
12774	1.4142	1.4142	1.6569	-4.0000	0.1872	0.4142	0.0468	False
12775	1.6180	1.6180	4.3262	-7.0000	0.3220	0.6180	0.0460	False
12776	1.4757	1.4757	2.3784	-5.0000	0.0517	0.4757	0.0103	False
12777	1.4142	1.4142	2.0711	-5.0000	0.1212	0.4142	0.0242	False
12778	1.2056	1.2056	1.2334	-6.0000	-0.0282	0.2056	-0.0047	False
12779	1.1931	1.1931	0.3863	-2.0000	0.1292	0.1931	0.0646	False
12780	1.0000	1.0000	0.0000	-4.0000	0.0000	-0.0000	0.0000	False
12781	1.4422	1.4422	1.3267	-3.0000	0.0218	0.4422	0.0073	False
12782	1.4142	1.4142	1.2426	-3.0000	0.5034	0.4142	0.1678	False
12783	1.4142	1.4142	2.4853	-6.0000	0.0284	0.4142	0.0047	False
12784	1.1022	0.7071	0.2043	-2.0000	0.0556	0.1022	0.0278	False
12785	2.0000	2.0000	6.0000	-6.0000	0.7598	1.0000	0.1266	False
12786	1.4142	1.4142	2.0711	-5.0000	0.0484	0.4142	0.0097	False
12787	0.8928	0.8928	-0.2143	-2.0000	0.0000	-0.1072	0.0000	False
12788	2.0000	2.0000	4.0000	-4.0000	0.5800	1.0000	0.1450	False
12789	1.6180	1.6180	3.0902	-5.0000	0.2588	0.6180	0.0518	False
12790	2.0000	2.0000	4.0000	-4.0000	0.4428	1.0000	0.1107	False
12791	1.1654	1.1654	1.1576	-7.0000	0.0283	0.1654	0.0040	False
12792	1.5874	1.5874	4.1118	-7.0000	0.1520	0.5874	0.0217	False
12793	1.4142	1.4142	2.0711	-5.0000	-0.0151	0.4142	-0.0030	False
12794	1.3247	1.3247	1.2989	-4.0000	0.0086	0.3247	0.0021	False
12795	1.4142	1.4142	2.0711	-5.0000	0.1173	0.4142	0.0235	False
12796	1.6180	1.6180	3.0902	-5.0000	0.0034	0.6180	0.0007	False
12797	1.0000	1.0000	0.0000	-2.0000	0.0000	0.0000	0.0000	False
12798	1.0000	1.0000	0.0000	-5.0000	-0.0824	-0.0000	-0.0165	False
12799	1.4142	1.4142	3.7279	-9.0000	0.0456	0.4142	0.0051	False
12800	1.6180	1.6180	3.7082	-6.0000	0.2191	0.6180	0.0365	False
12801	1.6590	1.6590	2.6359	-4.0000	0.0029	0.6590	0.0007	False
12802	1.6180	1.6180	5.5623	-9.0000	0.2671	0.6180	0.0297	False
12803	0.7071	0.7071	-1.4645	-5.0000	0.0000	-0.2929	0.0000	False
12804	1.0000	1.0000	0.0000	-4.0000	-0.0086	-0.0000	-0.0022	False
12805	1.4142	1.4142	2.0711	-5.0000	0.1589	0.4142	0.0318	False
12806	1.4142	1.4142	1.6569	-4.0000	0.1489	0.4142	0.0372	False
12807	2.0000	2.0000	6.0000	-6.0000	0.3042	1.0000	0.0507	False
12808	1.0000	1.0000	0.0000	-3.0000	-0.0000	0.0000	-0.0000	False
