realization	alpha	beta	mu	mu_low	lambda	delta	lambda_tilde	violation
0	1.0357	1.0357	0.1787	-5.0000	-0.0090	0.0357	-0.0018	False
1	1.4142	1.4142	2.4853	-6.0000	-0.0000	0.4142	-0.0000	False
2	1.4142	1.4142	1.2426	-3.0000	0.3203	0.4142	0.1068	False
3	2.0000	2.0000	6.0000	-6.0000	0.1386	1.0000	0.0231	False
4	1.0000	1.0000	0.0000	-4.0000	0.0000	-0.0000	0.0000	False
5	1.6590	1.6590	3.9538	-6.0000	0.1477	0.6590	0.0246	False
6	1.0000	1.0000	0.0000	-4.0000	-0.1893	-0.0000	-0.0473	False
7	1.0000	1.0000	0.0000	-5.0000	-0.0202	-0.0000	-0.0040	False
8	0.6180	0.6180	-1.1459	-3.0000	-0.0000	-0.3820	-0.0000	False
9	1.5214	1.5214	2.6069	-5.0000	0.3533	0.5214	0.0707	False
10	1.7106	1.7106	3.5532	-5.0000	0.2494	0.7106	0.0499	False
11	1.0000	1.0000	0.0000	-3.0000	-0.0375	0.0000	-0.0125	False
12	1.3247	1.3247	0.6494	-2.0000	0.1768	0.3247	0.0884	False
13	1.4142	1.4142	2.0711	-5.0000	-0.1025	0.4142	-0.0205	False
14	0.8393	0.8393	-0.4821	-3.0000	-0.0773	-0.1607	-0.0258	False
15	1.0000	0.7937	0.0000	-4.0000	0.0000	0.0000	0.0000	False
16	1.7963	1.7963	3.9816	-5.0000	0.1434	0.7963	0.0287	False
17	1.6180	1.6180	3.7082	-6.0000	0.1427	0.6180	0.0238	False
18	1.6180	1.6180	3.7082	-6.0000	0.1673	0.6180	0.0279	False
19	1.4142	1.4142	2.0711	-5.0000	-0.0014	0.4142	-0.0003	False
20	2.0000	2.0000	6.0000	-6.0000	0.5490	1.0000	0.0915	False
21	1.0000	1.0000	0.0000	-5.0000	0.0000	0.0000	0.0000	False
22	1.4142	1.4142	3.7279	-9.0000	0.1046	0.4142	0.0116	False
23	1.0000	1.0000	0.0000	-8.0000	-0.1395	-0.0000	-0.0174	False
24	1.4142	1.4142	1.2426	-3.0000	-0.0884	0.4142	-0.0295	False
25	0.8882	0.8882	-0.4473	-4.0000	0.0000	-0.1118	0.0000	False
26	2.0000	2.0000	3.0000	-3.0000	0.6356	1.0000	0.2119	False
27	1.3247	1.3247	0.9742	-3.0000	0.1119	0.3247	0.0373	False
28	0.7071	0.7071	-1.1716	-4.0000	-0.4968	-0.2929	-0.1242	False
29	1.7321	1.7321	3.6603	-5.0000	0.0676	0.7321	0.0135	False
30	1.6590	1.6590	3.9538	-6.0000	0.3609	0.6590	0.0601	False
31	2.0000	2.0000	4.0000	-4.0000	0.8233	1.0000	0.2058	False
32	2.0000	2.0000	3.0000	-3.0000	0.0240	1.0000	0.0080	False
33	1.2808	1.2808	1.9654	-7.0000	0.0270	0.2808	0.0039	False
34	0.9112	0.9112	-0.4442	-5.0000	0.0000	-0.0888	0.0000	False
35	0.8393	0.7071	-0.9643	-6.0000	0.0000	-0.1607	0.0000	False
36	1.4142	1.4142	2.4853	-6.0000	0.0406	0.4142	0.0068	False
37	1.4142	1.4142	1.2426	-3.0000	0.1686	0.4142	0.0562	False
38	1.0000	1.0000	0.0000	-4.0000	-0.0616	-0.0000	-0.0154	False
39	2.0000	2.0000	5.0000	-5.0000	0.8699	1.0000	0.1740	False
40	1.5443	1.5443	2.1771	-4.0000	0.1526	0.5443	0.0382	False
41	1.1200	1.1200	0.6001	-5.0000	0.0028	0.1200	0.0006	False
42	2.0000	2.0000	5.0000	-5.0000	-0.0179	1.0000	-0.0036	False
43	2.0000	2.0000	5.0000	-5.0000	0.3771	1.0000	0.0754	False
44	2.0000	2.0000	6.0000	-6.0000	0.4954	1.0000	0.0826	False
45	1.0000	1.0000	0.0000	-3.0000	0.0000	0.0000	0.0000	False
46	1.4142	1.4142	2.4853	-6.0000	0.0000	0.4142	0.0000	False
47	1.7693	1.7693	3.8465	-5.0000	0.2341	0.7693	0.0468	False
48	1.0000	1.0000	0.0000	-4.0000	-0.3084	-0.0000	-0.0771	False
49	1.7693	1.7693	2.3079	-3.0000	0.2255	0.7693	0.0752	False
50	1.4142	1.4142	1.2426	-3.0000	0.3665	0.4142	0.1222	False
51	1.4142	1.4142	1.6569	-4.0000	0.0429	0.4142	0.0107	False
52	2.0000	2.0000	6.0000	-6.0000	-0.0906	1.0000	-0.0151	False
53	1.4011	1.4011	2.0056	-5.0000	0.0000	0.4011	0.0000	False
54	0.9034	0.9034	-0.4830	-5.0000	-0.0000	-0.0966	-0.0000	False
55	1.0000	1.0000	0.0000	-7.0000	-0.0329	-0.0000	-0.0047	False
56	1.0000	1.0000	0.0000	-4.0000	-0.0000	-0.0000	-0.0000	False
57	1.4142	1.4142	1.2426	-3.0000	0.0256	0.4142	0.0085	False
58	2.0000	2.0000	5.0000	-5.0000	0.5342	1.0000	0.1068	False
59	1.4142	1.4142	2.0711	-5.0000	-0.0120	0.4142	-0.0024	False
60	1.0000	1.0000	0.0000	-5.0000	0.0000	0.0000	0.0000	False
61	1.0000	1.0000	0.0000	-5.0000	-0.0000	0.0000	-0.0000	False
62	2.0000	2.0000	4.0000	-4.0000	0.8454	1.0000	0.2114	False
63	1.4142	1.4142	2.0711	-5.0000	0.2451	0.4142	0.0490	False
64	1.1787	1.1787	1.4298	-8.0000	0.0045	0.1787	0.0006	False
65	2.0000	2.0000	5.0000	-5.0000	0.6491	1.0000	0.1298	False
66	1.0000	1.0000	0.0000	-4.0000	-0.0000	-0.0000	-0.0000	False
67	1.2247	1.2247	1.1237	-5.0000	0.0503	0.2247	0.0101	False
68	1.0000	1.0000	0.0000	-5.0000	-0.3425	-0.0000	-0.0685	False
69	1.6787	1.6787	1.3574	-2.0000	0.3545	0.6787	0.1773	False
70	1.2056	1.2056	1.0278	-5.0000	-0.0000	0.2056	-0.0000	False
71	2.0000	2.0000	6.0000	-6.0000	-0.1001	1.0000	-0.0167	False
72	1.1173	1.1173	0.7041	-6.0000	-0.0207	0.1173	-0.0034	False
73	0.7321	0.7321	-1.0718	-4.0000	0.0000	-0.2679	0.0000	False
74	0.8484	0.8484	-0.3033	-2.0000	-0.0000	-0.1516	-0.0000	False
75	1.0000	1.0000	0.0000	-5.0000	0.0000	0.0000	0.0000	False
76	1.3660	1.3660	2.5622	-7.0000	0.0087	0.3660	0.0012	False
77	2.0000	2.0000	4.0000	-4.0000	0.8679	1.0000	0.2170	False
78	1.0000	1.0000	0.0000	-5.0000	-0.0393	-0.0000	-0.0079	False
79	1.0000	1.0000	0.0000	-5.0000	-0.0000	0.0000	-0.0000	False
80	0.7937	0.7937	-0.8252	-4.0000	0.0000	-0.2063	0.0000	False
81	1.7523	1.7523	4.5140	-6.0000	0.3604	0.7523	0.0601	False
82	1.3247	1.3247	2.2730	-7.0000	-0.0015	0.3247	-0.0002	False
83	1.7106	1.7106	2.1319	-3.0000	0.2163	0.7106	0.0721	False
84	1.0000	1.0000	0.0000	-4.0000	-0.0000	-0.0000	-0.0000	False
85	2.0000	2.0000	7.0000	-7.0000	0.9144	1.0000	0.1306	False
86	2.0000	2.0000	6.0000	-6.0000	0.2526	1.0000	0.0421	False
87	1.7693	1.7693	5.3850	-7.0000	0.0189	0.7693	0.0027	False
88	1.0000	1.0000	0.0000	-6.0000	-0.0062	0.0000	-0.0010	False
89	1.3247	1.3247	1.9483	-6.0000	0.0888	0.3247	0.0148	False
90	1.1322	1.1322	0.5290	-4.0000	0.0133	0.1322	0.0033	False
91	1.4142	1.4142	2.0711	-5.0000	-0.0389	0.4142	-0.0078	False
92	1.3593	1.3593	1.7965	-5.0000	0.0487	0.3593	0.0097	False
93	1.0000	1.0000	0.0000	-4.0000	-0.0000	-0.0000	-0.0000	False
94	1.0000	1.0000	0.0000	-8.0000	-0.0000	-0.0000	-0.0000	False
95	1.5051	1.5051	3.5355	-7.0000	-0.1004	0.5051	-0.0143	False
96	1.5098	1.5098	2.0390	-4.0000	0.0151	0.5098	0.0038	False
97	0.7071	0.7071	-1.1716	-4.0000	-0.0000	-0.2929	-0.0000	False
98	2.0000	2.0000	4.0000	-4.0000	0.6373	1.0000	0.1593	False
99	1.0000	1.0000	0.0000	-2.0000	-0.0059	0.0000	-0.0029	False
100	1.6180	1.6180	2.4721	-4.0000	0.2972	0.6180	0.0743	False
101	2.0000	2.0000	6.0000	-6.0000	0.0292	1.0000	0.0049	False
102	1.0000	1.0000	0.0000	-5.0000	-0.0000	-0.0000	-0.0000	False
103	1.2375	1.2375	1.6628	-7.0000	-0.0000	0.2375	-0.0000	False
104	2.0000	2.0000	8.0000	-8.0000	0.4633	1.0000	0.0579	False
105	1.4142	1.4142	3.3137	-8.0000	0.2266	0.4142	0.0283	False
106	1.4142	1.4142	2.8995	-7.0000	0.0231	0.4142	0.0033	False
107	1.5214	1.5214	4.1710	-8.0000	0.0863	0.5214	0.0108	False
108	1.4142	1.4142	2.4853	-6.0000	-0.0127	0.4142	-0.0021	False
109	0.7937	0.7937	-1.6504	-8.0000	0.0000	-0.2063	0.0000	False
110	2.0000	2.0000	5.0000	-5.0000	0.2584	1.0000	0.0517	False
111	0.8295	0.8295	-0.3410	-2.0000	-0.0000	-0.1705	-0.0000	False
112	1.4142	1.4142	2.4853	-6.0000	-0.0010	0.4142	-0.0002	False
113	1.1095	1.1095	0.5476	-5.0000	0.0000	0.1095	0.0000	False
114	0.8295	0.8295	-0.6821	-4.0000	-0.0000	-0.1705	-0.0000	False
115	1.1004	1.1004	0.3011	-3.0000	0.0021	0.1004	0.0007	False
116	1.4142	1.4142	2.0711	-5.0000	0.0150	0.4142	0.0030	False
117	1.2599	1.2599	1.5595	-6.0000	0.0161	0.2599	0.0027	False
118	1.7693	1.7693	4.6158	-6.0000	0.3240	0.7693	0.0540	False
119	1.8582	1.8582	6.0074	-7.0000	0.2220	0.8582	0.0317	False
120	1.4142	1.4142	2.0711	-5.0000	-0.0691	0.4142	-0.0138	False
121	1.0890	1.0890	0.3560	-4.0000	-0.0270	0.0890	-0.0068	False
122	1.7523	1.7523	4.5140	-6.0000	0.3873	0.7523	0.0646	False
123	1.0000	1.0000	0.0000	-6.0000	0.0000	0.0000	0.0000	False
124	1.4142	1.4142	2.8995	-7.0000	-0.0676	0.4142	-0.0097	False
125	1.4142	1.4142	2.4853	-6.0000	0.1877	0.4142	0.0313	False
126	2.0000	2.0000	6.0000	-6.0000	0.4928	1.0000	0.0821	False
127	1.6590	1.6590	4.6128	-7.0000	0.0630	0.6590	0.0090	False
128	2.0000	2.0000	6.0000	-6.0000	0.3470	1.0000	0.0578	False
129	1.4142	1.4142	1.2426	-3.0000	0.2641	0.4142	0.0880	False
130	1.4142	1.4142	2.4853	-6.0000	0.0497	0.4142	0.0083	False
131	1.0000	1.0000	0.0000	-4.0000	0.0000	-0.0000	0.0000	False
132	2.0000	2.0000	6.0000	-6.0000	0.3527	1.0000	0.0588	False
133	0.7071	0.7071	-1.1716	-4.0000	-0.2683	-0.2929	-0.0671	False
134	2.0000	2.0000	4.0000	-4.0000	0.7660	1.0000	0.1915	False
135	1.4142	1.4142	2.0711	-5.0000	0.0540	0.4142	0.0108	False
136	1.4142	1.4142	2.4853	-6.0000	0.2367	0.4142	0.0394	False
137	1.5214	1.5214	2.0855	-4.0000	0.2032	0.5214	0.0508	False
138	1.4142	1.4142	1.6569	-4.0000	0.0478	0.4142	0.0120	False
139	1.0000	1.0000	0.0000	-8.0000	-0.0000	0.0000	-0.0000	False
140	1.4142	1.4142	2.0711	-5.0000	0.1979	0.4142	0.0396	False
141	1.4142	1.4142	2.4853	-6.0000	-0.2719	0.4142	-0.0453	False
142	1.5214	1.5214	2.6069	-5.0000	0.1889	0.5214	0.0378	False
143	1.7321	1.7321	4.3923	-6.0000	0.2064	0.7321	0.0344	False
144	1.4142	1.4142	2.4853	-6.0000	0.2064	0.4142	0.0344	False
145	1.4142	1.4142	2.8995	-7.0000	0.1143	0.4142	0.0163	False
146	2.0000	2.0000	3.0000	-3.0000	0.4956	1.0000	0.1652	False
147	1.3463	1.3463	2.0776	-6.0000	0.0997	0.3463	0.0166	False
148	1.4142	1.4142	2.0711	-5.0000	-0.2411	0.4142	-0.0482	False
149	1.5214	1.5214	2.6069	-5.0000	0.2369	0.5214	0.0474	False
150	1.4142	1.4142	1.2426	-3.0000	0.1373	0.4142	0.0458	False
151	2.0000	2.0000	5.0000	-5.0000	0.8049	1.0000	0.1610	False
152	1.1304	1.1304	0.5216	-4.0000	0.0000	0.1304	0.0000	False
153	1.4011	1.4011	2.4067	-6.0000	0.0000	0.4011	0.0000	False
154	2.0000	2.0000	6.0000	-6.0000	-0.0441	1.0000	-0.0074	False
155	1.0000	1.0000	0.0000	-2.0000	0.0000	0.0000	0.0000	False
156	1.0000	1.0000	0.0000	-3.0000	0.0000	0.0000	0.0000	False
157	1.4142	1.4142	3.7279	-9.0000	0.1250	0.4142	0.0139	False
158	1.3247	1.3247	1.6236	-5.0000	0.1907	0.3247	0.0381	False
159	1.4142	1.4142	1.6569	-4.0000	0.2522	0.4142	0.0631	False
160	1.0000	1.0000	0.0000	-4.0000	-0.3562	-0.0000	-0.0890	False
161	1.4142	1.4142	1.6569	-4.0000	-0.0013	0.4142	-0.0003	False
162	1.1095	1.1095	0.4381	-4.0000	0.0000	0.1095	0.0000	False
163	1.3542	1.3542	1.4169	-4.0000	0.0012	0.3542	0.0003	False
164	1.2972	1.2972	2.0801	-7.0000	0.0877	0.2972	0.0125	False
165	1.0000	1.0000	0.0000	-4.0000	0.0000	0.0000	0.0000	False
166	1.0000	1.0000	0.0000	-5.0000	-0.0000	0.0000	-0.0000	False
167	1.0000	1.0000	0.0000	-5.0000	0.0000	0.0000	0.0000	False
168	1.2361	1.2361	0.7082	-3.0000	0.0124	0.2361	0.0041	False
169	1.4142	1.4142	1.6569	-4.0000	-0.0468	0.4142	-0.0117	False
170	1.4142	1.4142	1.6569	-4.0000	0.1760	0.4142	0.0440	False
171	1.0000	1.0000	0.0000	-3.0000	-0.1670	-0.0000	-0.0557	False
172	1.0000	1.0000	0.0000	-6.0000	0.0000	0.0000	0.0000	False
173	1.5771	1.5771	2.8855	-5.0000	0.0000	0.5771	0.0000	False
174	1.0000	1.0000	0.0000	-2.0000	0.0000	0.0000	0.0000	False
175	1.0000	1.0000	0.0000	-4.0000	-0.0485	-0.0000	-0.0121	False
176	2.0000	2.0000	3.0000	-3.0000	0.6512	1.0000	0.2171	False
177	1.4142	1.4142	2.4853	-6.0000	-0.1107	0.4142	-0.0184	False
178	1.2027	1.2027	1.0133	-5.0000	0.0186	0.2027	0.0037	False
179	1.5214	1.5214	2.0855	-4.0000	0.0167	0.5214	0.0042	False
180	1.1915	1.1915	1.1489	-6.0000	-0.1994	0.1915	-0.0332	False
181	1.1304	1.1304	0.9128	-7.0000	-0.0000	0.1304	-0.0000	False
182	1.0000	1.0000	0.0000	-3.0000	-0.1546	-0.0000	-0.0515	False
183	1.3247	1.3247	1.2989	-4.0000	-0.0000	0.3247	-0.0000	False
184	2.0000	2.0000	5.0000	-5.0000	0.3480	1.0000	0.0696	False
185	1.5214	1.5214	3.1283	-6.0000	0.1074	0.5214	0.0179	False
186	1.6816	1.6816	2.0448	-3.0000	0.2768	0.6816	0.0923	False
187	2.0000	2.0000	5.0000	-5.0000	0.4777	1.0000	0.0955	False
188	1.8849	1.8849	2.6547	-3.0000	0.3519	0.8849	0.1173	False
189	2.0000	2.0000	9.0000	-9.0000	0.4506	1.0000	0.0501	False
190	1.4142	1.4142	2.4853	-6.0000	-0.0634	0.4142	-0.0106	False
191	1.3730	1.3730	2.2379	-6.0000	0.0391	0.3730	0.0065	False
192	1.1304	1.1304	0.2608	-2.0000	0.0044	0.1304	0.0022	False
193	1.4142	1.4142	2.8995	-7.0000	0.1150	0.4142	0.0164	False
194	2.0000	2.0000	5.0000	-5.0000	0.3488	1.0000	0.0698	False
195	1.0000	1.0000	0.0000	-2.0000	-0.0000	-0.0000	-0.0000	False
196	1.0000	1.0000	0.0000	-5.0000	-0.0696	-0.0000	-0.0139	False
197	1.1227	1.1227	0.7362	-6.0000	-0.0249	0.1227	-0.0041	False
198	1.4142	1.4142	2.0711	-5.0000	0.0535	0.4142	0.0107	False
199	1.0000	1.0000	0.0000	-4.0000	-0.0000	-0.0000	-0.0000	False
200	1.0000	1.0000	0.0000	-5.0000	-0.0882	-0.0000	-0.0176	False
201	0.7708	0.7708	-1.1458	-5.0000	-0.0138	-0.2292	-0.0028	False
202	2.0000	2.0000	3.0000	-3.0000	0.1956	1.0000	0.0652	False
203	1.7321	1.7321	3.6603	-5.0000	0.4408	0.7321	0.0882	False
204	1.3247	1.3247	1.6236	-5.0000	0.0000	0.3247	0.0000	False
205	1.0000	1.0000	0.0000	-4.0000	0.0000	0.0000	0.0000	False
206	1.6180	1.6180	3.0902	-5.0000	0.3787	0.6180	0.0757	False
207	2.0000	2.0000	5.0000	-5.0000	0.1483	1.0000	0.0297	False
208	0.8606	0.8606	-0.4182	-3.0000	-0.0000	-0.1394	-0.0000	False
209	1.4142	1.4142	2.0711	-5.0000	0.1004	0.4142	0.0201	False
210	1.4142	1.0000	2.4853	-6.0000	0.0105	0.4142	0.0017	False
211	0.9296	0.9296	-0.3518	-5.0000	0.0000	-0.0704	0.0000	False
212	2.0000	2.0000	5.0000	-5.0000	0.1827	1.0000	0.0365	False
213	1.4142	1.4142	2.8995	-7.0000	0.0623	0.4142	0.0089	False
214	1.0000	1.0000	0.0000	-5.0000	-0.0000	0.0000	-0.0000	False
215	1.0000	1.0000	0.0000	-7.0000	0.0000	0.0000	0.0000	False
216	1.4142	1.4142	2.8995	-7.0000	0.1474	0.4142	0.0211	False
217	1.0000	1.0000	0.0000	-3.0000	0.0000	0.0000	0.0000	False
218	1.4142	1.4142	1.6569	-4.0000	-0.0843	0.4142	-0.0211	False
219	1.7071	1.7071	2.1213	-3.0000	0.1836	0.7071	0.0612	False
220	0.9012	0.9012	-0.4940	-5.0000	0.0000	-0.0988	0.0000	False
221	1.0000	1.0000	0.0000	-7.0000	0.0000	-0.0000	0.0000	False
222	2.0000	2.0000	6.0000	-6.0000	0.3297	1.0000	0.0550	False
223	1.6625	1.6625	3.3127	-5.0000	0.3469	0.6625	0.0694	False
224	1.4142	1.4142	2.4853	-6.0000	0.1188	0.4142	0.0198	False
225	1.0000	1.0000	0.0000	-5.0000	0.0000	-0.0000	0.0000	False
226	1.4142	1.4142	2.0711	-5.0000	0.2361	0.4142	0.0472	False
227	1.7693	1.7693	6.1543	-8.0000	0.1889	0.7693	0.0236	False
228	1.1101	1.1101	0.3302	-3.0000	0.0081	0.1101	0.0027	False
229	1.1447	1.1447	0.8683	-6.0000	0.0000	0.1447	0.0000	False
230	1.4142	1.4142	1.6569	-4.0000	0.1342	0.4142	0.0335	False
231	0.7071	0.7071	-1.4645	-5.0000	-0.0000	-0.2929	-0.0000	False
232	2.0000	2.0000	5.0000	-5.0000	0.8969	1.0000	0.1794	False
233	2.0000	2.0000	5.0000	-5.0000	0.3237	1.0000	0.0647	False
234	1.6180	1.6180	2.4721	-4.0000	0.0824	0.6180	0.0206	False
235	1.0000	1.0000	0.0000	-4.0000	0.0000	0.0000	0.0000	False
236	1.6180	1.6180	4.3262	-7.0000	0.0823	0.6180	0.0118	False
237	1.1915	1.1915	1.3404	-7.0000	-0.0422	0.1915	-0.0060	False
238	1.4656	1.4656	3.2590	-7.0000	0.0016	0.4656	0.0002	False
239	1.4142	1.4142	1.6569	-4.0000	0.1599	0.4142	0.0400	False
240	2.0000	2.0000	4.0000	-4.0000	0.5896	1.0000	0.1474	False
241	1.2658	1.2658	0.7973	-3.0000	0.0000	0.2658	0.0000	False
242	1.0000	1.0000	0.0000	-5.0000	-0.0000	0.0000	-0.0000	False
243	1.0000	1.0000	0.0000	-3.0000	0.0000	0.0000	0.0000	False
244	1.0000	1.0000	0.0000	-6.0000	-0.0000	0.0000	-0.0000	False
245	1.4142	1.4142	1.6569	-4.0000	-0.1117	0.4142	-0.0279	False
246	1.0000	1.0000	0.0000	-3.0000	-0.1594	0.0000	-0.0531	False
247	1.4142	1.4142	2.4853	-6.0000	0.1511	0.4142	0.0252	False
248	2.0000	2.0000	6.0000	-6.0000	0.5273	1.0000	0.0879	False
249	1.7321	1.7321	3.6603	-5.0000	0.7919	0.7321	0.1584	False
250	0.7071	0.7071	-1.1716	-4.0000	-0.0000	-0.2929	-0.0000	False
251	0.8393	0.8393	-0.9643	-6.0000	0.0000	-0.1607	0.0000	False
252	1.4142	1.4142	2.0711	-5.0000	-0.0061	0.4142	-0.0012	False
253	0.7071	0.7071	-1.1716	-4.0000	-0.0000	-0.2929	-0.0000	False
254	0.7808	0.7808	-1.0961	-5.0000	-0.0000	-0.2192	-0.0000	False
255	0.8393	0.8393	-0.8036	-5.0000	0.0000	-0.1607	0.0000	False
256	1.2189	1.2189	1.0944	-5.0000	-0.0579	0.2189	-0.0116	False
257	1.0000	1.0000	0.0000	-3.0000	-0.0000	0.0000	-0.0000	False
258	1.0000	1.0000	0.0000	-7.0000	-0.0291	-0.0000	-0.0042	False
259	0.7071	0.7071	-1.4645	-5.0000	-0.4771	-0.2929	-0.0954	False
260	1.0000	1.0000	0.0000	-4.0000	-0.0000	0.0000	-0.0000	False
261	1.3101	1.3101	1.2405	-4.0000	0.0791	0.3101	0.0198	False
262	1.4142	1.4142	2.8995	-7.0000	0.0536	0.4142	0.0077	False
263	1.4142	1.4142	2.8995	-7.0000	0.0558	0.4142	0.0080	False
264	1.1299	1.1299	0.2598	-2.0000	0.0066	0.1299	0.0033	False
265	1.6180	1.6180	1.2361	-2.0000	0.0717	0.6180	0.0358	False
266	1.4142	1.4142	2.0711	-5.0000	-0.2603	0.4142	-0.0521	False
267	1.4142	1.4142	1.2426	-3.0000	0.3671	0.4142	0.1224	False
268	1.4142	1.4142	2.8995	-7.0000	-0.0017	0.4142	-0.0002	False
269	1.4142	1.4142	1.6569	-4.0000	0.0366	0.4142	0.0092	False
270	2.0000	2.0000	4.0000	-4.0000	0.2086	1.0000	0.0522	False
271	1.1701	1.1701	1.0205	-6.0000	-0.0821	0.1701	-0.0137	False
272	1.2247	1.2247	1.3485	-6.0000	-0.0351	0.2247	-0.0058	False
273	1.3146	1.3146	1.2584	-4.0000	0.2293	0.3146	0.0573	False
274	1.0000	1.0000	0.0000	-3.0000	-0.0289	-0.0000	-0.0096	False
275	2.0000	2.0000	4.0000	-4.0000	0.6613	1.0000	0.1653	False
276	0.6180	0.6180	-0.7639	-2.0000	-0.1171	-0.3820	-0.0586	False
277	1.4142	1.4142	0.8284	-2.0000	0.2554	0.4142	0.1277	False
278	1.0899	1.0899	0.5392	-6.0000	0.0000	0.0899	0.0000	False
279	1.4142	1.4142	2.0711	-5.0000	-0.0000	0.4142	-0.0000	False
280	1.0000	1.0000	0.0000	-4.0000	-0.0000	0.0000	-0.0000	False
281	0.7071	0.7071	-1.7574	-6.0000	-0.0000	-0.2929	-0.0000	False
282	2.0000	2.0000	3.0000	-3.0000	0.0456	1.0000	0.0152	False
283	1.2514	1.2514	1.0056	-4.0000	0.1020	0.2514	0.0255	False
284	1.0000	1.0000	0.0000	-2.0000	-0.0000	-0.0000	-0.0000	False
285	1.5214	1.5214	2.0855	-4.0000	0.1610	0.5214	0.0402	False
286	1.4142	1.4142	2.0711	-5.0000	0.1012	0.4142	0.0202	False
287	2.0000	2.0000	4.0000	-4.0000	0.3968	1.0000	0.0992	False
288	1.4142	1.4142	2.4853	-6.0000	-0.0110	0.4142	-0.0018	False
289	1.4142	1.4142	2.0711	-5.0000	0.0908	0.4142	0.0182	False
290	0.9072	0.9072	-0.3712	-4.0000	-0.0000	-0.0928	-0.0000	False
291	2.0000	2.0000	5.0000	-5.0000	0.5372	1.0000	0.1074	False
292	2.0000	2.0000	4.0000	-4.0000	0.6880	1.0000	0.1720	False
293	1.6717	1.6717	3.3585	-5.0000	0.4075	0.6717	0.0815	False
294	2.0000	2.0000	5.0000	-5.0000	0.3829	1.0000	0.0766	False
295	2.0000	2.0000	4.0000	-4.0000	0.0139	1.0000	0.0035	False
296	0.7071	0.7071	-0.5858	-2.0000	-0.1184	-0.2929	-0.0592	False
297	1.0000	1.0000	0.0000	-2.0000	0.0000	0.0000	0.0000	False
298	1.4142	1.4142	3.7279	-9.0000	0.0000	0.4142	0.0000	False
299	1.3247	1.3247	2.5977	-8.0000	0.0874	0.3247	0.0109	False
300	1.4142	1.4142	2.0711	-5.0000	-0.1724	0.4142	-0.0345	False
301	1.4142	1.4142	2.0711	-5.0000	-0.0000	0.4142	-0.0000	False
302	1.1617	1.1617	0.8085	-5.0000	0.0282	0.1617	0.0056	False
303	2.0000	2.0000	5.0000	-5.0000	0.4369	1.0000	0.0874	False
304	1.5098	1.5098	1.5293	-3.0000	0.1807	0.5098	0.0602	False
305	1.1654	1.1654	0.8269	-5.0000	0.0057	0.1654	0.0011	False
306	0.8846	0.8846	-0.4614	-4.0000	-0.2048	-0.1154	-0.0512	False
307	1.4024	1.4024	1.2072	-3.0000	0.0000	0.4024	0.0000	False
308	1.2247	1.2247	1.1237	-5.0000	-0.0000	0.2247	-0.0000	False
309	1.4142	1.4142	1.6569	-4.0000	0.0504	0.4142	0.0126	False
310	1.2599	1.0000	1.0397	-4.0000	0.0165	0.2599	0.0041	False
311	1.0677	1.0677	0.3383	-5.0000	-0.0000	0.0677	-0.0000	False
312	1.6180	1.6180	1.8541	-3.0000	0.3171	0.6180	0.1057	False
313	2.0000	2.0000	6.0000	-6.0000	0.3888	1.0000	0.0648	False
314	1.0690	1.0690	0.2069	-3.0000	-0.0000	0.0690	-0.0000	False
315	1.5874	1.5874	1.7622	-3.0000	0.3032	0.5874	0.1011	False
316	1.6180	1.6180	3.0902	-5.0000	0.2122	0.6180	0.0424	False
317	2.0000	2.0000	6.0000	-6.0000	0.0154	1.0000	0.0026	False
318	1.4142	1.4142	2.0711	-5.0000	0.2646	0.4142	0.0529	False
319	1.4142	1.4142	1.6569	-4.0000	-0.0447	0.4142	-0.0112	False
320	1.3247	1.3247	1.9483	-6.0000	0.0143	0.3247	0.0024	False
321	1.4142	1.4142	2.0711	-5.0000	0.0706	0.4142	0.0141	False
322	1.6717	1.6717	4.0302	-6.0000	0.2309	0.6717	0.0385	False
323	2.0000	2.0000	6.0000	-6.0000	0.4862	1.0000	0.0810	False
324	1.4142	1.4142	2.4853	-6.0000	0.2236	0.4142	0.0373	False
325	1.4142	1.4142	2.0711	-5.0000	-0.0962	0.4142	-0.0192	False
326	1.7321	1.7321	5.1244	-7.0000	0.4245	0.7321	0.0606	False
327	2.0000	2.0000	6.0000	-6.0000	0.6541	1.0000	0.1090	False
328	2.0000	2.0000	8.0000	-8.0000	0.3085	1.0000	0.0386	False
329	1.2403	1.2403	1.2015	-5.0000	0.0000	0.2403	0.0000	False
330	1.3660	1.3660	1.4641	-4.0000	-0.0307	0.3660	-0.0077	False
331	1.4142	1.4142	2.0711	-5.0000	-0.1407	0.4142	-0.0281	False
332	1.0000	1.0000	0.0000	-2.0000	-0.0000	0.0000	-0.0000	False
333	1.4142	1.4142	2.0711	-5.0000	0.1475	0.4142	0.0295	False
334	1.0000	1.0000	0.0000	-5.0000	-0.0000	-0.0000	-0.0000	False
335	1.5214	1.5214	2.6069	-5.0000	0.0747	0.5214	0.0149	False
336	1.6180	1.6180	1.2361	-2.0000	0.0286	0.6180	0.0143	False
337	1.0000	1.0000	0.0000	-3.0000	-0.0000	0.0000	-0.0000	False
338	2.0000	2.0000	4.0000	-4.0000	0.5479	1.0000	0.1370	False
339	1.0000	1.0000	0.0000	-6.0000	0.0000	0.0000	0.0000	False
340	2.0000	2.0000	3.0000	-3.0000	0.3764	1.0000	0.1255	False
